,testcase_0,testcase_1,testcase_2,testcase_3,testcase_4,testcase_5,testcase_6,testcase_7,testcase_8,testcase_9
1,0.177809,0.140458,0.118449,0.108643,0.109601,0.098995,0.102412,0.102426,0.104563,0.102649
2,0.159553,0.179614,0.143418,0.129064,0.256278,0.105067,0.160956,0.105905,0.094804,0.102551
3,0.165122,0.131603,0.113049,0.110563,0.109263,0.105636,0.104852,0.119949,0.106901,0.102421
4,0.166102,0.142231,0.119446,0.112818,0.111254,0.107961,0.124842,0.112123,0.108711,0.113361
5,0.253023,0.159334,0.138395,0.259173,0.123621,0.173246,0.117505,0.11133,0.101911,0.100714
6,0.124765,0.120795,0.118624,0.116324,0.114476,0.111873,0.114209,0.10561,0.103397,0.112308
7,0.163073,0.144943,0.250098,0.125465,0.117196,0.111945,0.176814,0.118646,0.103541,0.109094
8,0.192874,0.147442,0.126868,0.258343,0.129933,0.116646,0.169835,0.130259,0.112437,0.105546
9,0.187424,0.157853,0.123962,0.127812,0.130353,0.114236,0.117512,0.121069,0.131346,0.117826
10,0.198667,0.140747,0.126606,0.186118,0.150532,0.118003,0.144066,0.121113,0.110393,0.109182
11,0.195542,0.20794,0.278838,0.145252,0.133843,0.122149,0.120694,0.128831,0.124878,0.118554
12,0.198902,0.26878,0.302061,0.208584,0.180185,0.16036,0.145184,0.125433,0.115799,0.117699
13,0.201875,0.16767,0.14332,0.129958,0.127927,0.132878,0.125867,0.116702,0.121999,0.113082
14,0.186937,0.17192,0.158084,0.133182,0.134641,0.141395,0.138603,0.115874,0.116018,0.122858
15,0.172389,0.141959,0.13733,0.134332,0.133927,0.126789,0.126586,0.120656,0.116929,0.116083
16,0.220121,0.176649,0.146867,0.135342,0.30722,0.157377,0.131784,0.135966,0.135066,0.124837
17,0.211848,0.221577,0.168913,0.149439,0.144804,0.209517,0.157152,0.135667,0.145747,0.123442
18,0.347917,0.18516,0.163031,0.139592,0.139911,0.134607,0.137265,0.137095,0.137775,0.130852
19,0.192971,0.162446,0.153411,0.145808,0.147021,0.192046,0.137721,0.128732,0.130028,0.141539
20,0.219976,0.173482,0.154069,0.324627,0.143914,0.138337,0.154894,0.164998,0.133404,0.131884
21,0.2242,0.227476,0.166783,0.158703,0.233603,0.154452,0.149607,0.152736,0.130105,0.126539
22,0.215889,0.17917,0.233375,0.201468,0.365907,0.155421,0.170014,0.144976,0.145675,0.13476
23,0.226538,0.357602,0.249261,0.231586,0.170454,0.161636,0.143866,0.157086,0.135252,0.131179
24,0.219919,0.183197,0.250524,0.197509,0.18298,0.152541,0.147474,0.151564,0.132785,0.131211
25,0.209174,0.203488,0.166882,0.15904,0.15241,0.147553,0.148213,0.161278,0.134155,0.141369
26,0.240631,0.202597,0.181103,0.157093,0.159648,0.152499,0.153542,0.147521,0.140281,0.138197
27,0.268697,0.212191,0.185527,0.161012,0.161179,0.152736,0.152435,0.16645,0.139986,0.140083
28,0.19604,0.267692,0.218607,0.170415,0.173198,0.156139,0.156716,0.161578,0.14228,0.140533
29,0.188617,0.266143,0.196467,0.169709,0.167714,0.208854,0.160159,0.157784,0.156486,0.161914
30,0.254512,0.262155,0.212175,0.179499,0.190355,0.165671,0.15999,0.170247,0.156342,0.153675
31,0.259361,0.26216,0.223743,0.182986,0.179441,0.161554,0.186902,0.163715,0.154164,0.152408
32,0.270848,0.222326,0.199914,0.214892,0.173843,0.164192,0.164393,0.166417,0.155635,0.153563
