,testcase_0,testcase_1,testcase_2,testcase_3,testcase_4,testcase_5,testcase_6,testcase_7,testcase_8,testcase_9
1,1.11617,1.6003,1.81665,1.88427,12.7922,96.0677,170.291,236.191,477.374,777.516
2,1.26055,2.26477,2.27974,2.33833,29.3098,115.036,198.064,244.918,417.785,763.272
3,1.01436,1.47429,1.68426,1.80271,12.0203,98.069,131.156,289.026,444.775,853.236
4,1.05241,1.59132,1.71556,1.80329,12.3382,94.3232,214.542,236.429,523.792,869.354
5,1.20446,1.72032,1.89647,2.81838,13.3602,133.97,171.886,246.828,425.56,764.067
6,0.818011,1.33316,1.60124,1.76558,11.9745,94.1231,132.967,226.869,399.73,761.825
7,0.949974,1.61537,3.23355,1.93684,12.2942,94.2903,190.645,237.108,399.261,871.321
8,1.0381,1.56524,1.73023,3.65432,13.5665,95.4972,184.072,235.693,437.383,760.829
9,1.04966,1.61165,1.68515,1.97967,12.2906,94.1101,130.362,270.55,472.613,871.713
10,1.0347,1.50665,1.66402,2.65528,14.3294,98.0297,213.977,247.722,420.507,762.595
11,1.236,2.16593,3.45579,2.26868,12.802,95.5846,130.649,329.567,536.803,863.462
12,1.05178,2.3662,3.32196,2.84337,19.3144,173.853,227.621,235.202,406.804,831.634
13,1.02812,1.62533,1.76793,1.76634,12.0477,94.9838,131.788,226.074,457.204,752.103
14,1.00268,1.60959,1.76026,1.82101,13.1481,96.579,131.465,210.491,386.724,740.753
15,0.915411,1.34266,1.59135,1.78078,12.0792,93.9821,131.811,210.094,390.016,737.923
16,1.06205,1.60661,1.71854,1.80208,28.5451,138.614,156.267,233.604,437.821,878.283
17,1.01579,1.88198,1.95792,1.89039,12.628,144.974,228.196,250.556,526.291,834.124
18,1.3561,1.62106,1.79573,1.76605,12.025,94.3482,131.221,294.245,443.732,876.428
19,0.936151,1.4489,1.68019,1.88721,13.1153,178.051,133.585,227.309,434.724,861.039
20,1.23276,1.70221,1.85759,3.90486,13.0369,94.648,131.186,360.813,488.337,784.261
21,1.04076,1.86922,1.81966,1.87379,19.6134,128.833,170.181,234.762,397.081,774.94
22,1.00929,1.55461,2.38825,2.25812,29.1762,128.552,225.536,253.886,441.385,777.249
23,1.01892,2.61078,2.50755,2.7529,14.806,132.053,131.836,277.854,437.817,740.99
24,0.990666,1.50006,2.49171,2.34494,15.9645,96.6039,131.759,235.088,389.597,744.609
25,0.949871,1.60686,1.73355,1.79037,12.0517,94.6737,131.201,236.942,385.913,739.769
26,1.03543,1.63162,1.82786,1.77559,12.0857,95.0153,132.148,232.844,386.086,743.595
27,1.0858,1.5724,1.8489,1.8417,12.7755,98.8067,133.205,237.619,386.623,741.211
28,0.911865,1.91066,2.14546,2.00552,12.7633,95.4907,132.14,235.149,386.411,736.493
29,1.05146,2.16661,2.07808,2.0322,12.2182,169.721,135.64,233.074,558.709,913.725
30,1.03063,1.86273,2.05034,1.93852,12.3234,96.0368,132.359,233.565,395.409,768.906
31,1.04428,1.91442,2.05423,1.93592,12.6692,94.814,216.355,241.312,415.23,758.277
32,1.04987,1.63699,1.81867,2.20526,13.378,100.21,131.503,239.203,400.837,763.25
